35,44,24
48,50,82
92,28,64
66,64,65
58,87,82
31,81,54
28,29,94
69,4,83
94,83,96
53,58,29
14,4,78
22,14,14
21,12,32
56,69,85
40,60,49
96,87,85
24,12,85
32,52,36
74,21,100
16,91,40
17,79,52
87,7,21
81,67,95
10,38,16
55,19,18
87,32,96
43,89,53
58,45,98
45,78,84
29,44,39
12,70,27
56,26,48
71,36,91
14,7,10
4,84,4
64,5,70
98,37,34
56,79,77
42,42,13
62,44,40
74,36,38
83,91,65
99,77,8
69,27,17
22,43,26
30,79,14
45,22,55
34,68,13
94,58,90
78,83,69
77,66,30
67,25,25
100,1,30
10,19,79
32,57,18
16,45,74
21,99,18
19,14,93
1,24,44
52,55,83
68,1,41
21,74,7
97,87,15
73,32,28
70,51,82
19,26,16
50,13,73
48,14,41
37,39,74
82,61,58
21,81,64
6,30,62
69,32,64
25,28,77
19,73,43
30,45,47
55,77,38
34,93,67
57,25,50
12,60,5
53,52,7
1,6,95
82,47,33
43,40,83
94,87,18
42,81,70
77,13,76
76,26,64
77,28,74
89,20,38
21,75,68
53,56,83
2,3,67
56,18,75
96,57,21
24,65,68
34,34,59
26,73,26
6,14,76
10,33,96
80,15,17
60,86,17
36,34,64
11,83,45
99,93,23
78,69,38
89,24,19
43,86,64
73,98,2
73,67,82
26,21,57
56,77,60
82,7,1
36,27,92
54,74,64
86,96,79
27,17,73
12,85,83
72,5,72
30,1,52
21,65,19
25,92,66
27,69,80
1,41,25
71,62,6
48,37,41
55,17,85
30,3,85
30,68,48
84,37,20
36,40,87
92,11,70
22,36,26
3,41,48
51,51,34
34,11,48
29,7,45
65,43,15
45,4,90
96,76,31
30,1,27
54,64,24
28,42,87
34,69,73
71,13,52
90,13,16
82,8,47
5,48,61
6,1,44
48,5,66
9,64,23
10,14,86
24,86,78
10,88,47
62,79,99
93,44,75
27,15,1
50,8,49
34,6,85
15,61,11
81,26,62
16,6,72
97,41,7
7,9,65
29,57,71
89,15,62
79,64,98
12,86,67
15,70,74
70,60,26
98,89,62
82,31,7
65,68,70
96,90,59
16,32,91
8,87,83
30,29,51
60,17,16
3,64,94
57,57,65
52,61,78
92,10,52
24,17,7
31,83,21
10,13,79
80,2,92
73,47,65
59,65,69
38,89,88
79,20,23
3,78,35
46,50,34
79,97,17
89,72,86
92,32,70
16,4,34
67,51,43
25,64,53
86,94,72
85,37,65
97,46,1
61,19,15
87,38,91
65,42,51
45,58,99
26,73,13
61,48,18
62,53,93
26,75,78
16,10,93
29,63,39
10,15,71
87,3,25
69,47,24
67,55,81
30,12,69
11,53,49
89,66,67
78,84,79
38,67,18
100,36,13
65,72,8
97,90,52
25,74,55
32,25,7
13,21,49
72,96,67
31,75,72
18,40,58
47,15,8
52,89,7
63,90,74
15,81,65
92,23,99
7,44,27
71,5,90
27,90,80
8,45,93
94,45,99
93,10,15
15,82,18
86,45,8
80,31,25
13,87,40
85,29,7
47,5,61
1,51,2
61,69,4
52,75,10
74,94,72
15,30,19
23,56,33
63,33,22
43,98,95
71,16,50
1,52,74
52,73,71
76,46,25
47,75,67
12,50,88
13,24,24
79,79,49
95,85,26
23,13,90
46,85,47
23,94,79
68,5,94
76,58,85
33,99,43
16,87,9
18,94,79
22,80,83
30,38,97
38,81,62
9,54,36
71,69,79
19,37,96
